Number of bases of the vector space Z^n over Z_2 is 168.
Basis 1: ([0, 0, 1], [0, 1, 0], [1, 0, 0])
Basis 2: ([0, 0, 1], [0, 1, 0], [1, 0, 1])
Basis 3: ([0, 0, 1], [0, 1, 0], [1, 1, 0])
Basis 4: ([0, 0, 1], [0, 1, 0], [1, 1, 1])
Basis 5: ([0, 0, 1], [0, 1, 1], [1, 0, 0])
Basis 6: ([0, 0, 1], [0, 1, 1], [1, 0, 1])
Basis 7: ([0, 0, 1], [0, 1, 1], [1, 1, 0])
Basis 8: ([0, 0, 1], [0, 1, 1], [1, 1, 1])
Basis 9: ([0, 0, 1], [1, 0, 0], [0, 1, 0])
Basis 10: ([0, 0, 1], [1, 0, 0], [0, 1, 1])
Basis 11: ([0, 0, 1], [1, 0, 0], [1, 1, 0])
Basis 12: ([0, 0, 1], [1, 0, 0], [1, 1, 1])
Basis 13: ([0, 0, 1], [1, 0, 1], [0, 1, 0])
Basis 14: ([0, 0, 1], [1, 0, 1], [0, 1, 1])
Basis 15: ([0, 0, 1], [1, 0, 1], [1, 1, 0])
Basis 16: ([0, 0, 1], [1, 0, 1], [1, 1, 1])
Basis 17: ([0, 0, 1], [1, 1, 0], [0, 1, 0])
Basis 18: ([0, 0, 1], [1, 1, 0], [0, 1, 1])
Basis 19: ([0, 0, 1], [1, 1, 0], [1, 0, 0])
Basis 20: ([0, 0, 1], [1, 1, 0], [1, 0, 1])
Basis 21: ([0, 0, 1], [1, 1, 1], [0, 1, 0])
Basis 22: ([0, 0, 1], [1, 1, 1], [0, 1, 1])
Basis 23: ([0, 0, 1], [1, 1, 1], [1, 0, 0])
Basis 24: ([0, 0, 1], [1, 1, 1], [1, 0, 1])
Basis 25: ([0, 1, 0], [0, 0, 1], [1, 0, 0])
Basis 26: ([0, 1, 0], [0, 0, 1], [1, 0, 1])
Basis 27: ([0, 1, 0], [0, 0, 1], [1, 1, 0])
Basis 28: ([0, 1, 0], [0, 0, 1], [1, 1, 1])
Basis 29: ([0, 1, 0], [0, 1, 1], [1, 0, 0])
Basis 30: ([0, 1, 0], [0, 1, 1], [1, 0, 1])
Basis 31: ([0, 1, 0], [0, 1, 1], [1, 1, 0])
Basis 32: ([0, 1, 0], [0, 1, 1], [1, 1, 1])
Basis 33: ([0, 1, 0], [1, 0, 0], [0, 0, 1])
Basis 34: ([0, 1, 0], [1, 0, 0], [0, 1, 1])
Basis 35: ([0, 1, 0], [1, 0, 0], [1, 0, 1])
Basis 36: ([0, 1, 0], [1, 0, 0], [1, 1, 1])
Basis 37: ([0, 1, 0], [1, 0, 1], [0, 0, 1])
Basis 38: ([0, 1, 0], [1, 0, 1], [0, 1, 1])
Basis 39: ([0, 1, 0], [1, 0, 1], [1, 0, 0])
Basis 40: ([0, 1, 0], [1, 0, 1], [1, 1, 0])
Basis 41: ([0, 1, 0], [1, 1, 0], [0, 0, 1])
Basis 42: ([0, 1, 0], [1, 1, 0], [0, 1, 1])
Basis 43: ([0, 1, 0], [1, 1, 0], [1, 0, 1])
Basis 44: ([0, 1, 0], [1, 1, 0], [1, 1, 1])
Basis 45: ([0, 1, 0], [1, 1, 1], [0, 0, 1])
Basis 46: ([0, 1, 0], [1, 1, 1], [0, 1, 1])
Basis 47: ([0, 1, 0], [1, 1, 1], [1, 0, 0])
Basis 48: ([0, 1, 0], [1, 1, 1], [1, 1, 0])
Basis 49: ([0, 1, 1], [0, 0, 1], [1, 0, 0])
Basis 50: ([0, 1, 1], [0, 0, 1], [1, 0, 1])
Basis 51: ([0, 1, 1], [0, 0, 1], [1, 1, 0])
Basis 52: ([0, 1, 1], [0, 0, 1], [1, 1, 1])
Basis 53: ([0, 1, 1], [0, 1, 0], [1, 0, 0])
Basis 54: ([0, 1, 1], [0, 1, 0], [1, 0, 1])
Basis 55: ([0, 1, 1], [0, 1, 0], [1, 1, 0])
Basis 56: ([0, 1, 1], [0, 1, 0], [1, 1, 1])
Basis 57: ([0, 1, 1], [1, 0, 0], [0, 0, 1])
Basis 58: ([0, 1, 1], [1, 0, 0], [0, 1, 0])
Basis 59: ([0, 1, 1], [1, 0, 0], [1, 0, 1])
Basis 60: ([0, 1, 1], [1, 0, 0], [1, 1, 0])
Basis 61: ([0, 1, 1], [1, 0, 1], [0, 0, 1])
Basis 62: ([0, 1, 1], [1, 0, 1], [0, 1, 0])
Basis 63: ([0, 1, 1], [1, 0, 1], [1, 0, 0])
Basis 64: ([0, 1, 1], [1, 0, 1], [1, 1, 1])
Basis 65: ([0, 1, 1], [1, 1, 0], [0, 0, 1])
Basis 66: ([0, 1, 1], [1, 1, 0], [0, 1, 0])
Basis 67: ([0, 1, 1], [1, 1, 0], [1, 0, 0])
Basis 68: ([0, 1, 1], [1, 1, 0], [1, 1, 1])
Basis 69: ([0, 1, 1], [1, 1, 1], [0, 0, 1])
Basis 70: ([0, 1, 1], [1, 1, 1], [0, 1, 0])
Basis 71: ([0, 1, 1], [1, 1, 1], [1, 0, 1])
Basis 72: ([0, 1, 1], [1, 1, 1], [1, 1, 0])
Basis 73: ([1, 0, 0], [0, 0, 1], [0, 1, 0])
Basis 74: ([1, 0, 0], [0, 0, 1], [0, 1, 1])
Basis 75: ([1, 0, 0], [0, 0, 1], [1, 1, 0])
Basis 76: ([1, 0, 0], [0, 0, 1], [1, 1, 1])
Basis 77: ([1, 0, 0], [0, 1, 0], [0, 0, 1])
Basis 78: ([1, 0, 0], [0, 1, 0], [0, 1, 1])
Basis 79: ([1, 0, 0], [0, 1, 0], [1, 0, 1])
Basis 80: ([1, 0, 0], [0, 1, 0], [1, 1, 1])
Basis 81: ([1, 0, 0], [0, 1, 1], [0, 0, 1])
Basis 82: ([1, 0, 0], [0, 1, 1], [0, 1, 0])
Basis 83: ([1, 0, 0], [0, 1, 1], [1, 0, 1])
Basis 84: ([1, 0, 0], [0, 1, 1], [1, 1, 0])
Basis 85: ([1, 0, 0], [1, 0, 1], [0, 1, 0])
