Number of bases of the vector space Z^n over Z_2 is 20160.
Basis 1: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0])
Basis 2: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 1])
Basis 3: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 1, 0])
Basis 4: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 1, 1])
Basis 5: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 1, 0, 0])
Basis 6: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 1, 0, 1])
Basis 7: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 1, 1, 0])
Basis 8: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 1, 1, 1])
Basis 9: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 1], [1, 0, 0, 0])
Basis 10: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 1], [1, 0, 0, 1])
Basis 11: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 1], [1, 0, 1, 0])
Basis 12: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 1], [1, 0, 1, 1])
Basis 13: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 1], [1, 1, 0, 0])
Basis 14: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 1], [1, 1, 0, 1])
Basis 15: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 1], [1, 1, 1, 0])
Basis 16: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 1], [1, 1, 1, 1])
Basis 17: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 1, 0], [1, 0, 0, 0])
Basis 18: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 1, 0], [1, 0, 0, 1])
Basis 19: ([0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 1, 0], [1, 0, 1, 0])
