100000 400000
0 5407 68
0 7742 84
0 44572 97
0 49857 87
1 17024 86
1 39074 10
1 50087 78
1 64544 49
1 75052 38
1 81177 31
1 99842 88
2 5701 77
2 25166 49
2 83798 98
3 1739 11
3 3299 81
3 31163 42
3 40305 87
3 77701 47
3 97812 40
4 15493 98
4 78405 74
4 91243 76
5 23333 74
5 28271 67
5 37457 46
5 79901 47
7 16075 18
7 73403 99
7 97730 66
8 97911 4
9 2327 66
9 74657 49
10 9592 1
10 64089 53
10 65815 35
10 73178 10
10 83709 31
10 92832 84
11 28324 48
11 92241 61
12 2065 71
12 5244 24
12 6278 10
12 28119 68
12 33009 35
12 44833 91
12 56175 10
12 71701 22
12 72918 37
12 74971 49
13 38827 19
13 56231 11
13 85511 25
13 87555 93
13 88965 77
14 23525 71
15 47113 39
15 75211 94
15 78830 69
15 92127 5
15 92633 97
16 7509 35
16 57408 54
17 2840 97
17 6224 87
17 42794 88
17 48043 7
17 72940 17
18 4355 71
18 4358 55
18 35117 78
19 18621 41
19 71224 79
19 71334 87
19 72237 8
20 14499 13
20 16534 77
20 31470 17
20 48259 34
20 55070 14
20 74127 66
20 82048 53
21 35233 24
21 93632 91
22 4046 46
22 22134 1
22 28217 61
22 30687 85
22 45184 94
22 99736 29
23 3452 89
23 7324 90
23 27145 64
23 85935 42
23 91841 87
24 43203 50
24 71328 29
25 47681 93
25 49080 66
26 13688 99
26 29204 48
26 45928 44
27 13956 40
27 27964 26
27 51859 30
27 67617 47
27 70126 38
28 4865 7
28 15310 64
28 83895 72
29 68323 21
29 90452 30
29 90714 25
30 2386 45
30 31993 20
31 34495 70
31 38427 45
31 44334 81
31 63483 54
32 29329 39
32 88119 10
33 40700 42
33 59316 28
34 7148 73
34 19677 83
34 21659 15
34 97011 22
35 6247 12
35 64031 7
35 65056 88
35 93688 11
36 38589 54
36 43089 31
36 64591 50
36 70447 80
37 21355 61
37 26776 97
37 68415 17
37 90238 68
38 9210 60
38 21677 89
38 39725 89
38 61578 90
38 76979 13
40 845 33
40 1485 9
40 11589 82
40 13155 78
40 14479 89
40 15544 36
40 29529 16
40 42718 98
40 43768 77
40 54074 44
40 70413 70
41 11084 60
41 58088 58
41 73194 92
41 90889 72
41 92268 65
42 32043 79
42 56307 82
42 75788 19
43 17584 10
43 23738 31
43 49936 98
43 49978 70
43 96734 27
44 2409 15
44 24674 37
44 68769 87
44 91148 3
44 91316 25
45 8917 77
45 21087 16
45 51783 58
45 67036 85
45 86961 97
45 88520 36
45 97118 74
46 11001 33
46 49516 51
46 49784 72
46 66258 10
47 6798 95
47 19401 42
47 49362 70
47 55201 52
47 64623 34
47 74607 41
47 87153 17
48 63522 13
48 81966 23
49 7683 35
49 74492 22
49 76503 54
49 78682 33
49 79217 91
50 1942 81
50 68884 47
51 11289 28
51 14326 67
51 27133 49
51 55466 53
51 90427 43
52 39367 64
52 46664 11
52 47227 28
52 77907 61
53 9896 46
53 15391 2
53 54708 94
53 70100 97
53 83092 74
53 88216 3
53 93493 91
53 93710 16
54 18297 72
54 21870 43
54 28298 49
54 61672 13
55 14906 59
55 19008 61
55 56988 35
56 21510 94
56 37505 82
56 38766 88
56 76853 26
56 79524 73
57 14745 68
57 25503 72
57 40610 1
57 92725 35
58 4121 21
58 65001 54
58 85343 78
59 8325 85
59 76827 64
59 83290 6
59 95834 46
60 1596 10
60 19391 7
60 28920 39
60 78864 7
60 88482 81
61 1220 41
61 1242 98
61 8857 96
61 10281 13
61 41790 40
62 21264 44
62 42834 25
62 86789 99
63 10585 5
63 19654 60
63 40574 93
64 4134 87
64 9198 47
64 21990 18
64 63972 59
65 31400 15
65 74238 90
66 53739 60
66 54460 49
66 57227 10
66 73720 13
67 18452 26
67 66937 95
67 88262 77
68 3684 32
68 21422 40
68 54614 87
68 60965 38
68 85635 79
68 96953 93
69 17080 19
69 30122 20
70 17250 91
70 45181 14
71 672 32
71 28678 31
71 80263 58
71 95883 57
72 27210 29
72 29101 62
72 41136 16
72 72520 22
72 76922 49
73 18568 63
73 24194 39
73 31662 7
73 65763 77
73 98620 29
74 5331 67
74 65004 26
74 94563 39
75 27470 79
76 7760 52
76 7809 33
76 37272 56
76 51724 83
76 66727 73
77 15274 42
77 19318 21
77 68436 51
77 83843 35
78 41281 39
78 44224 70
78 60634 25
78 63336 52
78 74315 2
78 95392 55
79 32837 10
79 54613 58
79 79074 84
79 79225 72
79 92365 74
80 10005 5
80 91173 20
81 38200 36
81 51031 44
81 53312 27
81 69982 13
82 8867 72
82 14392 93
82 39912 38
82 44723 10
82 67079 72
82 95112 89
83 11257 43
83 50539 27
83 71747 72
83 79729 15
83 88853 69
84 596 92
84 25427 66
84 25616 4
85 57049 30
85 71335 35
85 99397 29
86 553 82
86 39385 37
86 69574 83
86 82556 91
86 91957 95
87 5094 67
87 9171 63
87 16102 68
87 32972 72
87 48910 82
88 54517 4
88 73952 15
88 77594 8
89 4135 17
89 17272 87
89 42740 1
89 44612 54
89 57668 97
89 71643 72
89 99180 43
90 9244 40
90 26680 99
90 29314 14
90 50389 54
90 68158 68
90 96301 6
91 22424 20
91 59711 71
91 80755 35
91 90080 54
92 19915 100
92 20954 17
93 2367 91
94 32797 82
94 67081 7
94 75374 85
94 75622 49
94 84165 70
95 18710 52
95 41145 20
95 55943 51
95 88692 56
97 5711 35
97 11306 59
97 13298 72
97 68004 22
97 74707 60
98 13043 26
98 38241 19
99 19828 32
99 44049 69
100 7127 58
100 27793 31
100 44340 82
100 85636 12
100 90326 98
101 17269 88
101 38948 31
101 81889 69
103 32870 22
103 62496 85
103 95578 68
104 7856 38
104 22806 75
104 33288 50
104 52323 45
104 76571 59
105 50849 99
105 61142 14
105 68884 11
105 82679 18
105 93029 65
105 99663 67
106 277 53
106 45550 24
