100 500
37 43 51
30 69 78
41 17 59
54 69 80
84 44 10
99 70 67
5 26 35
48 96 61
87 7 49
44 66 37
66 41 60
24 56 21
79 37 28
55 93 4
89 80 63
36 63 14
53 54 31
49 92 61
28 76 52
80 25 50
87 19 45
30 86 17
52 53 68
84 10 80
66 57 72
98 91 82
49 81 51
77 71 43
11 40 72
35 8 17
76 49 63
6 48 80
17 66 27
85 81 93
64 81 32
91 46 89
30 7 52
54 45 34
54 23 84
33 95 20
78 32 23
27 76 30
75 39 35
66 40 35
6 31 6
53 32 41
94 74 83
7 72 14
0 33 76
47 76 76
73 83 75
67 78 66
59 76 68
60 50 64
85 41 98
0 4 87
87 18 38
31 57 94
78 25 2
70 62 39
98 70 46
61 15 92
32 68 47
77 37 23
7 24 52
12 52 13
65 60 31
94 95 89
12 16 6
68 44 2
54 3 54
26 66 12
24 94 97
70 53 31
39 92 49
89 15 77
40 92 99
21 36 60
59 67 11
70 90 95
34 10 98
98 85 70
22 21 98
47 82 43
3 23 40
48 84 76
2 8 12
72 18 56
75 62 10
82 80 31
6 79 3
1 65 84
30 35 7
15 80 93
40 15 80
10 5 95
69 90 98
83 36 70
84 24 43
20 78 40
31 27 38
23 33 40
61 63 27
88 53 3
70 3 39
55 22 39
78 64 69
85 33 1
35 87 73
73 14 12
82 78 88
39 50 48
90 25 91
18 91 20
26 80 91
32 63 22
51 20 15
25 77 81
34 70 92
4 37 75
45 56 58
26 14 79
13 78 59
54 12 88
18 24 74
3 47 53
24 65 36
2 59 30
14 93 91
28 77 2
64 36 39
16 82 19
34 23 57
33 11 49
16 47 24
56 36 7
39 94 51
90 33 26
52 20 69
13 56 37
0 48 5
43 38 37
46 4 74
80 27 86
62 52 15
19 87 37
41 53 32
2 31 44
91 13 34
85 77 86
43 56 85
93 5 23
15 41 65
95 45 96
49 78 43
65 13 23
81 62 19
31 76 37
45 25 75
20 42 22
43 71 9
23 52 35
20 66 56
98 4 36
20 65 59
2 74 56
59 56 19
8 48 83
78 98 26
6 82 75
